Entering Semester,Number of Undergrad Students,Number of Graduate,
1984,171,,
1985,149,,
1986,138,,
1987,149,,
1988,125,,
1989,126,,
1990,110,,
1991,106,,
1992,154,,
1993,143,,
1994,159,,
1995,188,,
1996,220,22,
1997,223,22,
1998,175,18,
1999,141,21,
2000,126,24,
2001,186,11,
2002,165,17,
2003,154,15,
2004,150,17,
2005,188,12,
2006,202,15,
2007,215,22,
2008,186,23,
2009,159,19,
2010,133,25,
2011,139,22,
2012,152,21,
2013,148,19,
2014,150,22,
2015,141,30,
2016,175,24,
2017,221,,
